matureform	total copies	mmuxrno_Neurobl-NG-dcAMP,mmuxrno_Neurobl-NG-norm,mmuxrno_Neurobl-NG-RA,mmu_Adipo-diff,mmu_Adipo-undiff,mmu_Alpha-pancreas-TC1,mmu_B-cell-K1-Tg-naive,mmu_B-cell-K2-Tg-anergic,mmu_B-cell-K4-WT,mmu_B-cell-spleen-IL4LPS24h,mmu_B-cell-spleen-IL4LPS48h,mmu_B-cell-spleen-IL4LPS72h,mmu_B-cell-spleen-IL4LPS8h,mmu_B-cell-spleen-unstim,mmu_B-lymphoma-A20_NP,mmu_B-lymphoma-A20_OP,mmu_B-lymphoma-S11,mmu_B-lymphoma-S11E,mmu_Beta-pancreas-MIN6,mmu_Brain-FMR-KO,mmu_Brain-WT,mmu_Cerebellum,mmu_Colon,mmu_Cortex,mmu_DC-GCSF,mmu_DC-unstim,mmu_Embryo-E11,mmu_Embryo-E12,mmu_Embryonic-kidney,mmu_ESC-fem,mmu_ESC-WT-frac-21,mmu_Eye,mmu_Fibrobl-3T12-20,mmu_Fibrobl-3T12-200,mmu_Fibrobl-3T12-MuHV,mmu_Fibrobl-MEF-HSV1-12h,mmu_Fibrobl-MEF-HSV1-6h,mmu_Fibrobl-MEF-HSV2-12h,mmu_Fibrobl-MEF-mock,mmu_Glomeruli,mmu_Heart,mmu_Hippocamp-HT22,mmu_Kidney,mmu_Kidney-collecting-duct,mmu_Liver,mmu_Lung,mmu_Midbrain,mmu_Neurobl-N1E-noFBS,mmu_Neurobl-N1E-norm,mmu_Neurobl-N2A,mmu_Neurobl-N2A-RA,mmu_Neurobl-N2A-TPA,mmu_Ovary,mmu_Placenta,mmu_Podocytes-K8-diff,mmu_Podocytes-K8-undiff,mmu_Skin,mmu_Small-intestine,mmu_Spermatogonia-C18,mmu_Spinal-Cord,mmu_Spleen,mmu_T-cell-CD8-conA,mmu_T-cell-CD8-ctrl,mmu_T-cell-CD8-polyIC,mmu_Teratocarcinoma-F9,mmu_Teratocarcinoma-P19,mmu_Testis,mmu_Thymus
mmu-let-7a	647.500	0.00000,0.00253,0.00000,0.13636,0.17778,0.01860,0.00328,0.02009,0.04068,0.01768,0.00653,0.01467,0.01156,0.00000,0.01070,0.00864,0.00451,0.00624,0.00909,0.00099,0.00000,0.00000,0.07143,0.01053,0.00649,0.01282,0.00430,0.01179,0.03014,0.00000,0.00239,0.01754,0.00976,0.00875,0.00814,0.01144,0.00159,0.00373,0.00108,0.02880,0.01587,0.00277,0.02703,0.01130,0.05000,0.13492,0.07619,0.00000,0.00000,0.00151,0.00000,0.00000,0.01178,0.00394,0.03604,0.03769,0.02548,0.00000,0.01121,0.00000,0.04348,0.00519,0.01447,0.01375,0.00000,0.00000,0.05545,0.00000
mmu-let-7b	511.333	0.00231,0.00253,0.00000,0.07792,0.04444,0.21860,0.00000,0.00000,0.00000,0.00098,0.00000,0.00113,0.00622,0.00120,0.00459,0.00118,0.00000,0.00000,0.06364,0.00493,0.00178,0.02174,0.00000,0.00000,0.00342,0.00308,0.00322,0.00558,0.00232,0.00000,0.00000,0.01754,0.01046,0.01346,0.00326,0.00815,0.00000,0.00093,0.00216,0.02604,0.01587,0.00553,0.02703,0.01927,0.01000,0.06122,0.05714,0.00000,0.00000,0.00000,0.00216,0.00200,0.02547,0.00131,0.05236,0.03096,0.07006,0.00000,0.03575,0.18182,0.02174,0.00593,0.00503,0.01031,0.00000,0.00000,0.03285,0.00000
mmu-let-7c	846.166	0.00694,0.01014,0.01480,0.11688,0.08889,0.17674,0.00000,0.00223,0.00000,0.00491,0.00000,0.00226,0.00756,0.00000,0.00765,0.00118,0.00000,0.00000,0.03333,0.00296,0.00268,0.06522,0.00000,0.02105,0.00751,0.00513,0.00107,0.00993,0.01710,0.00299,0.00159,0.01754,0.01743,0.02759,0.01520,0.01245,0.00000,0.00747,0.00324,0.02249,0.01587,0.00692,0.04505,0.02857,0.03000,0.06689,0.15238,0.00286,0.00274,0.01056,0.00431,0.01002,0.03205,0.00525,0.04899,0.05451,0.12739,0.00000,0.04482,0.09091,0.00000,0.00000,0.00126,0.00115,0.00095,0.00000,0.08748,0.04348
mmu-let-7d	196.500	0.00000,0.00000,0.00000,0.00000,0.02222,0.00465,0.00656,0.01339,0.00339,0.00589,0.00762,0.00564,0.00533,0.00120,0.00765,0.00236,0.00129,0.00250,0.00000,0.00000,0.00000,0.02174,0.03571,0.03158,0.00273,0.00205,0.00107,0.00186,0.00058,0.00000,0.00000,0.01754,0.00139,0.00538,0.00326,0.00429,0.00159,0.00093,0.00000,0.00355,0.03175,0.00000,0.03604,0.00930,0.02000,0.01020,0.01905,0.00000,0.00000,0.00000,0.00000,0.00000,0.00247,0.00131,0.00901,0.01615,0.00637,0.00000,0.00320,0.00000,0.00000,0.00074,0.00000,0.00000,0.00000,0.00092,0.01919,0.00000
mmu-let-7e	96.667	0.00000,0.00127,0.00000,0.00000,0.06667,0.00465,0.00000,0.00000,0.00000,0.00000,0.00000,0.00226,0.00044,0.00000,0.00000,0.00039,0.00000,0.00000,0.00606,0.00099,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00215,0.00248,0.02087,0.00000,0.00000,0.00000,0.00139,0.00202,0.00054,0.00086,0.00000,0.00093,0.00000,0.00276,0.00000,0.00000,0.00901,0.00399,0.00000,0.00000,0.00952,0.00000,0.00000,0.00000,0.00000,0.00000,0.00247,0.00000,0.00563,0.00269,0.00000,0.00000,0.00427,0.00000,0.02174,0.00000,0.00000,0.00000,0.00000,0.00000,0.00439,0.00000
mmu-let-7f	567.833	0.00000,0.00000,0.00000,0.07792,0.02222,0.00930,0.00328,0.01339,0.01017,0.00786,0.00653,0.01016,0.01067,0.00239,0.01682,0.03573,0.00580,0.00624,0.01515,0.00000,0.00000,0.03261,0.00000,0.01053,0.00786,0.00821,0.00752,0.00806,0.02377,0.00000,0.00159,0.00000,0.00000,0.00135,0.00869,0.00629,0.00159,0.00747,0.00000,0.02880,0.01587,0.00277,0.00000,0.06711,0.01000,0.02721,0.02857,0.00000,0.00000,0.00000,0.00000,0.00000,0.00274,0.00262,0.05518,0.08210,0.01911,0.00000,0.00427,0.00000,0.10870,0.00074,0.00377,0.01031,0.00000,0.00000,0.02049,0.04348
mmu-let-7g	165.167	0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.02295,0.00446,0.01017,0.00098,0.00218,0.00226,0.00000,0.00000,0.01529,0.00353,0.00064,0.00375,0.00606,0.00000,0.00000,0.01087,0.00000,0.01053,0.00205,0.00103,0.00000,0.00124,0.00464,0.00000,0.00159,0.00000,0.00000,0.00135,0.00109,0.00114,0.00000,0.00093,0.00000,0.00118,0.00000,0.00000,0.00000,0.00266,0.00000,0.01020,0.01905,0.00000,0.00000,0.00000,0.00000,0.00000,0.00110,0.00000,0.00507,0.00538,0.00637,0.00000,0.00107,0.00000,0.00000,0.00741,0.00377,0.00573,0.00000,0.00000,0.02228,0.00000
mmu-let-7i	270.500	0.00116,0.00000,0.00000,0.00000,0.00000,0.00930,0.01311,0.00446,0.00339,0.00688,0.00000,0.00339,0.00533,0.00000,0.02905,0.00589,0.00129,0.00125,0.00909,0.00197,0.00000,0.01087,0.00000,0.01053,0.01025,0.00615,0.00107,0.00372,0.00522,0.00000,0.00239,0.00000,0.00697,0.00538,0.01412,0.01459,0.00159,0.01027,0.00864,0.00592,0.00000,0.00553,0.00901,0.01728,0.00000,0.00680,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00164,0.00131,0.01914,0.03230,0.00637,0.00000,0.00534,0.00000,0.00000,0.00519,0.00472,0.00916,0.00000,0.00000,0.00146,0.04348
mmu-miR-1	90.000	0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00537,0.00248,0.00232,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.30159,0.00000,0.00000,0.00000,0.01000,0.00680,0.01905,0.00000,0.00000,0.00000,0.00000,0.00000,0.00082,0.00000,0.00000,0.00000,0.04459,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00878,0.00000
mmu-miR-100	22.000	0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00250,0.00000,0.00197,0.00089,0.00000,0.00000,0.00000,0.00000,0.00000,0.00215,0.00186,0.00000,0.00000,0.00080,0.00000,0.00000,0.00000,0.00109,0.00086,0.00000,0.00280,0.00000,0.00000,0.00000,0.00000,0.00000,0.00199,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00269,0.00637,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000
