matureform	total copies	rno_Cortex-adult,rno_Cortex-embryo,rno_Glioma-C6,rno_Hippocamp-adult,rno_Neurobl-B35,rno_Neurobl-B35-dcAMP,rno_Neurobl-B35-noFBS,rno_Neurobl-B35-RA,rno_Pheochrom-PC12,rno_Pheochrom-PC12-NGF,rno_Striatum-adult,rno_Striatum-embryo,rno_Thyroid-FRTL5,rno_Thyroid-FRTL5-Ras,rno_Thyroid-FRTL5-Ras-tamox-48h,rno_Thyroid-FRTL5-Ras-tamox-7d
rno-let-7a	163.500	0.00658,0.00384,0.00000,0.02222,0.00156,0.00000,0.00000,0.00119,0.00347,0.00000,0.00856,0.00125,0.02153,0.01649,0.04048,0.01333
rno-let-7b	311.500	0.01693,0.01270,0.01764,0.03879,0.00000,0.00392,0.00498,0.00237,0.00347,0.00153,0.01504,0.00997,0.06458,0.05547,0.04782,0.02122
rno-let-7c	344.334	0.02822,0.00794,0.00705,0.05556,0.00312,0.00000,0.00664,0.00119,0.00173,0.00153,0.03133,0.01163,0.04987,0.03598,0.05483,0.03850
rno-let-7d	67.333	0.01016,0.00159,0.00000,0.00525,0.00000,0.00000,0.00000,0.00119,0.00000,0.00000,0.00501,0.00083,0.00959,0.00600,0.01427,0.00592
rno-let-7e	59.333	0.00489,0.00079,0.00000,0.00364,0.00000,0.00196,0.00000,0.00000,0.00000,0.00000,0.00125,0.00042,0.01087,0.00300,0.01652,0.00494
rno-let-7f	131.667	0.00884,0.00146,0.00353,0.02727,0.00000,0.00000,0.00166,0.00000,0.00173,0.00000,0.00731,0.00083,0.01066,0.01049,0.03071,0.01185
rno-let-7i	67.333	0.00339,0.00106,0.00353,0.00848,0.00000,0.00000,0.00000,0.00237,0.00173,0.00306,0.01044,0.00000,0.00554,0.01649,0.00968,0.00592
rno-miR-1	1.000	0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00125,0.00000,0.00000,0.00000,0.00000,0.00000
rno-miR-100	18.000	0.00113,0.00159,0.00176,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00042,0.00959,0.00600,0.00100,0.00000
rno-miR-101a-3p	13.000	0.00226,0.00079,0.00000,0.00121,0.00000,0.00000,0.00000,0.00000,0.00347,0.00153,0.00125,0.00166,0.00000,0.00150,0.00050,0.00099
rno-miR-101a-5p	3.000	0.00000,0.00000,0.00000,0.00242,0.00000,0.00000,0.00000,0.00119,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000
rno-miR-101b	11.000	0.00113,0.00079,0.00000,0.00000,0.00000,0.00000,0.00166,0.00119,0.00000,0.00306,0.00000,0.00000,0.00000,0.00300,0.00100,0.00099
rno-miR-103	15.000	0.00113,0.00000,0.00176,0.00303,0.00000,0.00196,0.00000,0.00000,0.00000,0.00306,0.00000,0.00000,0.00128,0.00300,0.00100,0.00247
rno-miR-105-5p	0.000	0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000
rno-miR-106b	27.000	0.00000,0.00397,0.00000,0.00000,0.00467,0.00000,0.00166,0.00237,0.00347,0.00000,0.00000,0.00166,0.00512,0.00450,0.00200,0.00099
rno-miR-107	2.000	0.00000,0.00000,0.00000,0.00061,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00050,0.00049
rno-miR-10a-3p	1.000	0.00000,0.00000,0.00000,0.00000,0.00000,0.00196,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000
rno-miR-10a-5p	1.000	0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00099
rno-miR-10b-5p	0.000	0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000
rno-miR-122	5.000	0.00000,0.00000,0.00000,0.00364,0.00000,0.00000,0.00166,0.00000,0.00000,0.00000,0.00000,0.00083,0.00000,0.00000,0.00000,0.00000
rno-miR-124	1812.999	0.23589,0.48492,0.00529,0.19515,0.00000,0.00000,0.00000,0.00356,0.00000,0.00153,0.21679,0.54153,0.00000,0.00000,0.00000,0.00000
rno-miR-125a-3p	27.000	0.00000,0.00317,0.00529,0.00000,0.00000,0.00000,0.00498,0.00949,0.00347,0.00153,0.00000,0.00000,0.00128,0.00150,0.00100,0.00197
rno-miR-125a-5p	57.000	0.00677,0.00159,0.00000,0.01455,0.00312,0.00196,0.00000,0.00119,0.00520,0.00153,0.00627,0.00166,0.00639,0.00300,0.00651,0.00197
rno-miR-125b	242.000	0.01806,0.01548,0.02646,0.01576,0.00623,0.01961,0.02575,0.00890,0.00607,0.00919,0.01316,0.01453,0.03325,0.02249,0.02278,0.01728
rno-miR-125b-3p	194.000	0.00000,0.01349,0.03175,0.00000,0.02648,0.03137,0.05150,0.07711,0.00173,0.00919,0.00000,0.00249,0.00767,0.00750,0.00351,0.00197
rno-miR-125b-5p	247.000	0.01806,0.01627,0.02646,0.01576,0.00623,0.01961,0.02741,0.00890,0.00607,0.00919,0.01316,0.01537,0.03325,0.02249,0.02328,0.01826
rno-miR-126	202.000	0.07449,0.00714,0.00000,0.05818,0.00312,0.00196,0.00498,0.00593,0.00000,0.00153,0.04637,0.02076,0.00000,0.00000,0.00200,0.00099
rno-miR-127	36.000	0.01806,0.00079,0.00000,0.00606,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.01754,0.00000,0.00000,0.00000,0.00000,0.00000
rno-miR-128a	27.000	0.01185,0.00040,0.00000,0.00727,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00564,0.00125,0.00320,0.00075,0.00025,0.00049
rno-miR-128b	22.000	0.00734,0.00040,0.00000,0.00606,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00313,0.00291,0.00320,0.00075,0.00025,0.00049
rno-miR-129	29.000	0.01242,0.00000,0.00000,0.00970,0.00156,0.00392,0.00000,0.00000,0.00000,0.00000,0.00627,0.00166,0.00000,0.00000,0.00000,0.00000
rno-miR-130a	203.000	0.00564,0.00159,0.01764,0.00121,0.01402,0.00588,0.00332,0.02017,0.01213,0.00919,0.00251,0.00332,0.02558,0.03148,0.03005,0.03356
rno-miR-130b	9.000	0.00000,0.00079,0.00000,0.00121,0.00312,0.00000,0.00000,0.00237,0.00173,0.00306,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000
rno-miR-132	18.000	0.00903,0.00000,0.00000,0.00242,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00627,0.00000,0.00000,0.00000,0.00150,0.00000
rno-miR-133a	0.500	0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00059,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000
rno-miR-133b	0.500	0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00059,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000
rno-miR-134	10.000	0.00000,0.00238,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00251,0.00415,0.00000,0.00000,0.00000,0.00000
rno-miR-135a	40.000	0.00113,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00512,0.00300,0.01202,0.00888
rno-miR-135b	24.000	0.00113,0.00159,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00249,0.00000,0.00300,0.00351,0.00888
rno-miR-136	64.000	0.01242,0.00714,0.00000,0.00848,0.00156,0.00000,0.00000,0.00000,0.00000,0.00000,0.01128,0.02243,0.00000,0.00000,0.00000,0.00000
rno-miR-137	30.000	0.00339,0.00317,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.01040,0.01378,0.00125,0.00581,0.00000,0.00000,0.00000,0.00000
rno-miR-138	38.000	0.00790,0.00317,0.00000,0.00364,0.00000,0.00196,0.00000,0.00000,0.00000,0.00766,0.01253,0.00498,0.00000,0.00000,0.00050,0.00099
rno-miR-139-3p	3.000	0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00125,0.00000,0.00000,0.00000,0.00100,0.00000
rno-miR-139-5p	7.000	0.00113,0.00000,0.00000,0.00121,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00125,0.00000,0.00000,0.00000,0.00150,0.00099
rno-miR-140	159.000	0.01242,0.00079,0.05467,0.00606,0.02492,0.00000,0.03654,0.01898,0.02600,0.01685,0.00877,0.00083,0.00384,0.00300,0.00701,0.00395
rno-miR-141	1.000	0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00119,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000
rno-miR-142-3p	8.000	0.00000,0.00000,0.00000,0.00121,0.00156,0.00588,0.00332,0.00000,0.00000,0.00000,0.00000,0.00083,0.00000,0.00000,0.00000,0.00000
rno-miR-142-5p	27.000	0.00113,0.00079,0.00000,0.00121,0.01869,0.00392,0.00000,0.00949,0.00000,0.00000,0.00125,0.00083,0.00000,0.00000,0.00000,0.00000
rno-miR-143	56.000	0.01806,0.00000,0.00176,0.01212,0.00000,0.00000,0.00000,0.00000,0.00867,0.00000,0.02757,0.00000,0.00000,0.00000,0.00100,0.00000
rno-miR-144	5.000	0.00226,0.00000,0.00000,0.00121,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00125,0.00083,0.00000,0.00000,0.00000,0.00000
rno-miR-145	1.000	0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00099
rno-miR-146a	1.000	0.00000,0.00000,0.00000,0.00121,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000
rno-miR-146b-5p	0.000	0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000
rno-miR-147	3.000	0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00150,0.00000
rno-miR-148b	2.000	0.00000,0.00000,0.00000,0.00000,0.00156,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00099
rno-miR-149-3p	3.000	0.00000,0.00079,0.00000,0.00000,0.00000,0.00000,0.00000,0.00237,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000
