Library name	Description	Tissue type code	Tissue type	Malignancy Status code	Species	"Collaborator (source RNA)"	Amount of RNA used for cloning	Protocol used	Ref
mmu_Cerebellum		9.1.1.0	nervous system, central nervous system, brain	1	mmu		200	1	
mmu_Cortex		9.1.1.0	nervous system, central nervous system, brain	1	mmu		300	1	
mmu_Midbrain		9.1.1.0	nervous system, central nervous system, brain	1	mmu		400	1	
mmu_Brain-WT	whole brain, 4 days old, males, littermates of FMRP KO	9.1.1.0	nervous system, central nervous system, brain	1	mmu	"R. Darnell, darnelr@rockefeller.edu"	200	2	
mmu_Brain-FMR-KO	whole brain, 4 days old, males, littermates of WT	9.1.1.0	nervous system, central nervous system, brain	1	mmu	"R. Darnell, darnelr@rockefeller.edu"	200	2	
mmu_SpinalCord		9.1.2.0	nervous system, central nervous system, spinal cord	1	mmu		80	1	
mmu_Hippocamp-HT22	HT-22	9.1.1.0	nervous system, central nervous system, brain	3	mmu		200	2	
mmu_Neurobl-N2A	N2A, Control, 48h	9.2.1.0	nervous system, sympathetic ganglion, neuroblastoma cell	4	mmu		200	2	
mmu_Neurobl-N2A-TPA	N2A, differentiation (20 nM TPA (phorbol ester)), 48h	9.2.1.0	nervous system, sympathetic ganglion, neuroblastoma cell	4	mmu		200	2	
mmu_Neurobl-N2A-RA	N2A, differentiation (20 µM RA), 48h	9.2.1.0	nervous system, sympathetic ganglion, neuroblastoma cell	4	mmu		200	2	
mmu_Neurobl-N1E-norm	N1E-115, Control (standard media, 10% FBS), 60h	9.2.1.0	nervous system, sympathetic ganglion, neuroblastoma cell	4	mmu		200	2	
mmu_Neurobl-N1E-noFBS	N1E-115, differentiation (no FBS in media), 60h	9.2.1.0	nervous system, sympathetic ganglion, neuroblastoma cell	4	mmu		200	2	
mmuxrno_Neurobl-NG-norm	NG108-15, Control (standard media, 10% FBS), 60h	9.2.1.0	nervous system, sympathetic ganglion, neuroblastoma cell	4	mmuxrno		200	2	
mmuxrno_Neurobl-NG-RA	NG108-15, differentiation (20 µM RA, 1% FBS), 60h	9.2.1.0	nervous system, sympathetic ganglion, neuroblastoma cell	4	mmuxrno		200	2	
mmuxrno_Neurobl-NG-dcAMP	NG108-15, differentiation (1mM dibutyryl cAMP, 1% FBS), 60h	9.2.1.0	nervous system, sympathetic ganglion, neuroblastoma cell	4	mmuxrno		200	2	
